library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
abjad,1.0859999999999999,1.0835,0.03576310948449532,1.122,12.764,12.707249999999998,0.21440984896532478,12.886,4.0,2.2119999999999997,2.25225,0.09773902325410584,2.397
abjad_ext_ipython,1.6795,1.68125,0.03717862289004257,1.7280000000000002,22.185000000000002,22.222749999999998,0.34588858996310634,22.677,4.0,2.4555,2.4284999999999997,0.09285293030737728,2.508
ablog,0.788,0.7962500000000001,0.036077462955886104,0.8440000000000001,6.7330000000000005,6.70725,0.06902837580782789,6.757000000000001,4.0,1.0310000000000001,1.0255,0.022397916569776435,1.046
absl-py,0.7170000000000001,0.7027500000000001,0.045338541367509075,0.74,0.8094999999999999,0.8184999999999999,0.06016920585593044,0.9,4.0,0.8700000000000001,0.8655,0.013329166015421444,0.8759999999999999
abtem,0.7629999999999999,0.7462500000000001,0.04676448082323447,0.78,12.9555,12.933000000000002,0.3321114270843446,13.227,4.0,1.0005,0.994,0.02367840084690411,1.015
abydos,0.6975,0.67975,0.042232491441227274,0.7070000000000001,3.5585,3.5815,0.05826662852782885,3.668,4.0,1.157,1.1644999999999999,0.0462637366987724,1.225
acstools,0.746,0.7437142857142858,0.03780526544329626,0.7979999999999999,8.5,8.520285714285714,0.12388127957270807,8.732999999999999,7.0,3.508,3.53,0.12705772966123174,3.705
actionlib,0.6859999999999999,0.6859999999999999,,0.6859999999999999,0.622,0.622,,0.622,1.0,0.626,0.626,,0.626
actk,13.005999999999998,13.005999999999998,,13.005999999999998,44.401,44.401,,44.401,1.0,12.424000000000001,12.424000000000001,,12.424000000000001
adafruit-io,0.7040000000000001,0.7072857142857142,0.022425538163102412,0.7440000000000001,3.7319999999999998,3.7475714285714283,0.13385920108190444,4.003,7.0,2.283,2.267714285714286,0.03402799967533734,2.302
adal,0.792,0.7849999999999999,0.04666904755831212,0.833,3.0140000000000002,3.0474999999999994,0.16312878348102772,3.255,4.0,0.88,0.8879999999999999,0.02513961017995305,0.924
adjusttext,0.72,0.716,0.02174089847882717,0.738,5.7445,5.81775,0.18907207620375874,6.098,4.0,1.467,1.456,0.05903106526793054,1.5130000000000001
adrpy,1.034,1.034,,1.034,16.369,16.369,,16.369,1.0,1.273,1.273,,1.273
ads,0.708,0.7014999999999999,0.03806573262134857,0.74,3.2275,3.22875,0.074968326645324,3.319,4.0,1.505,1.521,0.055148284953689564,1.6
adversarial_robustness_toolbox,0.8320000000000001,0.823857142857143,0.05658453431645016,0.905,10.892000000000001,10.967857142857143,0.27492085441173086,11.311,7.0,1.51,1.5151428571428571,0.05534265555436885,1.5859999999999999
advertools,1.034,1.02775,0.07157455320619659,1.099,15.4085,15.31375,0.23857685693852723,15.478,4.0,1.4144999999999999,1.40775,0.032806249404648526,1.44
aenum,0.696,0.6821428571428572,0.027594858044139123,0.71,0.8759999999999999,0.8637142857142857,0.02851732973540995,0.905,7.0,0.9059999999999999,0.9011428571428571,0.03134979304253102,0.9520000000000001
aequitas,0.9940000000000001,0.9940000000000001,,0.9940000000000001,23.221,23.221,,23.221,1.0,1.205,1.205,,1.205
aerosandbox,0.7509999999999999,0.747,0.018618986725025283,0.762,17.909000000000002,17.970428571428574,0.3311187385933021,18.417,7.0,1.318,1.2974285714285716,0.09745743881793927,1.399
affine,0.6945,0.69675,0.024635678733630775,0.7290000000000001,0.772,0.77325,0.039584298233853614,0.816,4.0,0.7925,0.79825,0.04315379473464652,0.8490000000000001
affinegap,0.6839999999999999,0.67125,0.04568278304423522,0.711,0.7464999999999999,0.7489999999999999,0.04692547282660028,0.807,4.0,0.7615,0.7635,0.024906491790963586,0.794
afinn,0.6659999999999999,0.6739999999999999,0.019476481543988695,0.703,1.3745,1.3857500000000003,0.039143965052099654,1.442,4.0,1.356,1.37625,0.042554866545045845,1.44
agate,0.7175,0.7085,0.05671272637894717,0.7659999999999999,5.0435,5.04825,0.10500912658748628,5.178,4.0,3.942,3.9365,0.062345809803065075,4.002
agate-dbf,0.6875,0.68225,0.029736341402398465,0.71,5.8149999999999995,5.80325,0.08339614299634439,5.879,4.0,1.376,1.3800000000000001,0.023692474191889253,1.411
agate-excel,0.7264999999999999,0.7249999999999999,0.022700954458641835,0.7509999999999999,6.1129999999999995,6.10175,0.15827060160792117,6.25,4.0,1.4729999999999999,1.4805,0.0566950909103544,1.5530000000000002
agate-sql,0.838,0.8225,0.05620498198558553,0.87,7.369999999999999,7.35725,0.10784054586904393,7.47,4.0,1.5830000000000002,1.56925,0.0383785964655649,1.598
aghast,0.6809999999999999,0.6672857142857141,0.03904576069910059,0.701,2.97,2.989,0.21078504058242203,3.385,7.0,0.951,0.9404285714285713,0.04445918406380226,0.99
aics-dask-utils,0.8290000000000001,0.8034285714285714,0.07288542868286992,0.894,4.905,4.857857142857143,0.15639845328671298,5.05,7.0,1.015,1.0077142857142858,0.055409729247110504,1.083
aicsfeature,6.064,6.026000000000001,0.18381149764545957,6.28,34.465,34.669000000000004,0.5133134195271618,35.332,7.0,6.053,6.070857142857143,0.14914135193548037,6.322
aicsimageio,0.9805,0.9800000000000001,0.03672419729097791,1.0190000000000001,9.8265,9.763000000000002,0.1548913597762428,9.863,4.0,1.5580000000000003,1.5705,0.06551081335677844,1.653
aicsimageprocessing,4.232,4.232,,4.232,24.058000000000003,24.058000000000003,,24.058000000000003,1.0,4.229,4.229,,4.229
aicspylibczi,0.7490000000000001,0.7508571428571429,0.013421730780449143,0.7759999999999999,2.957,2.909714285714286,0.096436013822144,3.0039999999999996,7.0,0.9390000000000001,0.9501428571428571,0.06005671922282742,1.0270000000000001
aicsshparam,1.028,0.989,0.06109009739720507,1.0490000000000002,25.506999999999998,25.496,0.6304091264144789,26.307,7.0,1.1420000000000001,1.1400000000000001,0.03324655370611118,1.19
aiodns,0.6759999999999999,0.6839999999999999,0.030854497241083054,0.728,1.5125,1.51825,0.070301137970875,1.599,4.0,0.7495,0.7482500000000001,0.020564937798755147,0.772
aiofiles,0.672,0.671,0.0520960651105244,0.732,0.7615000000000001,0.76425,0.018768324379123406,0.7879999999999999,4.0,0.7585,0.7587499999999999,0.029398129192178178,0.7909999999999999
aiogram,0.7390000000000001,0.7390000000000001,,0.7390000000000001,4.559,4.559,,4.559,1.0,1.021,1.021,,1.021
aiohttp,0.6965,0.7095,0.070240064540593,0.804,3.3440000000000003,3.38375,0.1228369515523186,3.56,4.0,1.5635000000000001,1.596,0.10868609233322657,1.751
aiohttp-cors,0.7609999999999999,0.7565714285714283,0.03141579827017578,0.8009999999999999,3.5989999999999998,3.589714285714286,0.0432539566040468,3.659,7.0,0.84,0.8428571428571429,0.027751447838677848,0.8759999999999999
aiohttp-socks,0.7959999999999999,0.7959999999999999,,0.7959999999999999,3.733,3.733,,3.733,1.0,0.919,0.919,,0.919
aiohttp-sse-client,0.7209999999999999,0.7184999999999999,0.06731270311018563,0.7879999999999999,3.671,3.65025,0.14873326236364684,3.805,4.0,0.8625,0.85025,0.0392035287527368,0.8809999999999999
aiohttp_socks,0.698,0.698,,0.698,3.781,3.781,,3.781,1.0,0.86,0.86,,0.86
aioredis,0.6659999999999999,0.6675714285714286,0.0310046079524595,0.7040000000000001,1.025,1.0282857142857142,0.028388461774192,1.069,7.0,0.84,0.8257142857142856,0.03342511174608237,0.851
aiorpcx,0.703,0.690857142857143,0.04163903845923351,0.7490000000000001,0.8009999999999999,0.8172857142857143,0.041108451222403974,0.872,7.0,0.865,0.8630000000000001,0.02485960578931212,0.887
aiortc,0.752,0.756,0.04261846235299126,0.818,3.9610000000000003,3.956285714285715,0.10343228748914936,4.13,7.0,1.062,1.0647142857142855,0.06652747373758275,1.156
airr,0.705,0.7012857142857144,0.03320499101899333,0.752,7.497999999999999,7.430428571428572,0.1478736590729363,7.585,7.0,1.45,1.4534285714285715,0.07605230030020387,1.5590000000000002
