,library,dependencies,size,size_full
0,pysolar,[],0.27200000000000024,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 272K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pysolar
"
1,pyexcel-xls,"['xlwt', 'pyexcel-io', 'xlrd']",1.5719999999999992,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 836K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/xlwt 664K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/xlrd 72K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/lml
"
2,bpemb,"['sentencepiece', 'numpy', 'gensim', 'requests', 'tqdm']",136.256,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 42M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gensim 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sentencepiece 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/bpemb
"
3,pdpipe,"['tqdm', 'pandas', 'skutil', 'strct', 'sortedcontainers']",76.396,"47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 452K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pdpipe 244K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sortedcontainers 200K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/strct 200K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/skutil 32K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/decore
"
4,pytest-mock,['pytest'],1.3439999999999976,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 820K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/py 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/toml 108K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pluggy 32K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytest 28K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/iniconfig
"
5,openslide-python,ERROR,0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
6,gender,['unidecode'],6.699999999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 4.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gender 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/unidecode
"
7,seeme,"['requests-toolbelt', 'requests']",3.943999999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 72K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/seeme
"
8,alibi,"['dill', 'tensorflow', 'scikit-image', 'Pillow', 'numpy', 'requests', 'matplotlib', 'scikit-learn', 'attrs', 'typing-extensions', 'spacy', 'pandas', 'scipy']",1300.2359999999999,"927M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tensorflow 76M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/spacy 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 31M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pydantic 29M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/blis 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 14M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tensorboard 12M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/networkx 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 8.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/h5py 5.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/imageio 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/srsly 3.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/thinc 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 1.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/werkzeug 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/alibi 1.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/oauthlib 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tifffile 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 860K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyasn1 644K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markdown 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 576K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/dill 576K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/click 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 404K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/preshed 396K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/immutables 328K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pathy 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 268K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wheel 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 228K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rsa 172K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/typer 160K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wasabi 128K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/flatbuffers 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wrapt 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cymem 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/murmurhash 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/catalogue 112K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cachetools 108K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gast 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/astunparse 24K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/contextvars
"
9,python-mnist,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
10,jgraph,['ipython'],20.33199999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 9.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jedi 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 620K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/parso 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 524K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jgraph 388K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pexpect 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ptyprocess 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/backcall
"
