library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
abjad,4.0,2.5054999999999996,2.5352499999999996,0.09620247744557645,2.675,14.596499999999999,14.71825,0.3688715901231764,15.239,1.1665,1.1727500000000002,0.04928404068932125,1.232
abjad_ext_ipython,4.0,2.705,2.66875,0.1024349387009466,2.747,26.1655,26.07825,0.49001522085202925,26.561999999999998,1.7705,1.7755,0.04569828589053783,1.8359999999999999
ablog,4.0,1.1835,1.1865,0.022781571499789054,1.215,7.817,7.82375,0.07176524228343416,7.916,0.909,0.90825,0.05572177910536124,0.975
absl-py,4.0,0.997,0.9924999999999999,0.027670682439482164,1.016,0.9825,0.9845,0.045683695122001704,1.042,0.7995000000000001,0.787,0.03909816704996117,0.8190000000000001
abtem,4.0,1.15,1.1975,0.11346805717910226,1.365,14.4205,14.4555,0.49011733289080933,15.0,0.8705,0.8479999999999999,0.06043729532885031,0.89
abydos,4.0,1.3605,1.353,0.05238956639128313,1.402,4.112,4.102,0.08234885143906617,4.176,0.7954999999999999,0.77975,0.03602198402827548,0.802
acstools,7.0,3.9760000000000004,4.022285714285714,0.1399782295998371,4.186,9.686,9.671571428571427,0.16669518803578492,9.932,0.835,0.8495714285714285,0.03711629086558952,0.9079999999999999
actionlib,1.0,0.726,0.726,,0.726,0.7959999999999999,0.7959999999999999,,0.7959999999999999,0.812,0.812,,0.812
actk,1.0,11.82,11.82,,11.82,49.846000000000004,49.846000000000004,,49.846000000000004,12.807,12.807,,12.807
adafruit-io,7.0,2.6439999999999997,2.6332857142857145,0.05000571395922098,2.696,4.337,4.355857142857143,0.14885835389325502,4.61,0.8170000000000001,0.8089999999999999,0.027465129406819378,0.845
adal,4.0,1.0110000000000001,1.05,0.08550633504795607,1.178,3.4699999999999998,3.4884999999999997,0.1630020449769472,3.676,0.8845000000000001,0.8694999999999999,0.047205225699421635,0.9059999999999999
adjusttext,4.0,1.711,1.6995,0.09680736886552938,1.801,6.42,6.48875,0.17781521307244819,6.752000000000001,0.8115,0.80775,0.025552234083669984,0.833
