library,sys_time_constant_median,sys_time_constant_average,sys_time_constant_std,sys_time_constant_max,sys_time_solo_len,sys_time_solo_median,sys_time_solo_average,sys_time_solo_std,sys_time_solo_max,sys_time_full_median,sys_time_full_average,sys_time_full_std,sys_time_full_max
abjad,0.08149999999999999,0.08325,0.018625699092025154,0.107,4.0,0.253,0.2605,0.026501572280401287,0.297,1.0655,1.09275,0.12578122541407635,1.266
abjad_ext_ipython,0.088,0.08950000000000001,0.010785793124908953,0.102,4.0,0.22049999999999997,0.2155,0.013228756555322936,0.225,1.927,1.925,0.09197100992522952,2.017
ablog,0.1095,0.10875000000000001,0.033059290171851344,0.14400000000000002,4.0,0.1115,0.11175,0.009069178573608526,0.121,0.6599999999999999,0.6565,0.07070360669725415,0.728
absl-py,0.08,0.08125000000000002,0.00780491298264539,0.091,4.0,0.0995,0.0955,0.02301448819041316,0.115,0.124,0.12,0.02227105745132009,0.142
abtem,0.10300000000000001,0.09775,0.015129992289048487,0.109,4.0,0.114,0.115,0.0150996688705415,0.134,1.093,1.1132499999999999,0.0432155450426503,1.178
abydos,0.0965,0.09675,0.007365459931328113,0.106,4.0,0.1465,0.14675,0.011870832602082583,0.158,0.37,0.3675,0.02418677324489566,0.389
acstools,0.10400000000000001,0.10214285714285716,0.019247758063634077,0.124,7.0,0.42700000000000005,0.42557142857142866,0.03585088163889022,0.47600000000000003,0.8340000000000001,0.855857142857143,0.06029214589930315,0.9390000000000001
actionlib,0.09699999999999999,0.09699999999999999,,0.09699999999999999,1.0,0.091,0.091,,0.091,0.121,0.121,,0.121
actk,3.582,3.582,,3.582,1.0,3.529,3.529,,3.529,6.422999999999999,6.422999999999999,,6.422999999999999
adafruit-io,0.099,0.09942857142857142,0.02115700942049815,0.131,7.0,0.344,0.33642857142857147,0.0253565056928667,0.37200000000000005,0.518,0.5077142857142858,0.048482692051611896,0.5710000000000001
adal,0.07300000000000001,0.08175,0.024005207768315603,0.11699999999999999,4.0,0.1015,0.10550000000000001,0.009949874371066194,0.12,0.2295,0.23249999999999998,0.01713670524536927,0.256
adjusttext,0.08299999999999999,0.08574999999999999,0.008995369179009087,0.098,4.0,0.191,0.20175,0.026825050481468504,0.24100000000000002,0.5185,0.521,0.010801234497346443,0.535
adrpy,0.06,0.06,,0.06,1.0,0.113,0.113,,0.113,1.324,1.324,,1.324
ads,0.0905,0.08775,0.012203141671990323,0.099,4.0,0.21050000000000002,0.2,0.048117910733253305,0.24100000000000002,0.3325,0.3365,0.059118525015429794,0.41
adversarial_robustness_toolbox,0.085,0.08371428571428573,0.01460267424953715,0.102,7.0,0.15,0.14871428571428572,0.02398412173163935,0.193,1.041,1.0455714285714286,0.04860335085450093,1.1059999999999999
advertools,0.1035,0.10325,0.0020615528128088323,0.105,4.0,0.136,0.129,0.01897366596101028,0.14300000000000002,1.3824999999999998,1.35175,0.07011122116561178,1.395
aenum,0.091,0.09428571428571429,0.019327995979185966,0.134,7.0,0.111,0.10985714285714286,0.02308988646881698,0.138,0.10400000000000001,0.10228571428571429,0.013936932777268289,0.122
aequitas,0.105,0.105,,0.105,1.0,0.127,0.127,,0.127,2.2359999999999998,2.2359999999999998,,2.2359999999999998
aerosandbox,0.099,0.09671428571428572,0.010274795792200864,0.111,7.0,0.17800000000000002,0.17814285714285716,0.026965586534374846,0.22,2.106,2.121285714285714,0.11238433207185998,2.254
affine,0.10250000000000001,0.10099999999999999,0.012027745701779143,0.11199999999999999,4.0,0.086,0.08775,0.019120233610846207,0.11199999999999999,0.1075,0.10625,0.024005207768315606,0.134
affinegap,0.093,0.0905,0.019824227601599007,0.11199999999999999,4.0,0.0905,0.09175,0.012093386622447825,0.105,0.106,0.10524999999999998,0.007410578025138565,0.11199999999999999
afinn,0.0895,0.0885,0.01244989959798873,0.102,4.0,0.18,0.179,0.030133038346638732,0.20600000000000002,0.197,0.20674999999999996,0.0483071768305014,0.27399999999999997
agate,0.099,0.0945,0.015588457268119894,0.10800000000000001,4.0,0.5945,0.619,0.06278534860936909,0.7120000000000001,0.7919999999999999,0.8034999999999999,0.06727803009403098,0.893
agate-dbf,0.096,0.092,0.01574801574802362,0.106,4.0,0.16599999999999998,0.1655,0.021579311079519364,0.188,0.9045000000000001,0.899,0.05156872437178702,0.9520000000000001
agate-excel,0.09,0.09375000000000001,0.009639329160614177,0.10800000000000001,4.0,0.20900000000000002,0.20074999999999998,0.035518774378254285,0.23199999999999998,0.9304999999999999,0.91725,0.03585503218982422,0.943
agate-sql,0.08449999999999999,0.0865,0.009882644720249065,0.1,4.0,0.1965,0.19474999999999998,0.02020519735117676,0.217,0.97,0.96425,0.018025444978326314,0.9790000000000001
aghast,0.086,0.08528571428571428,0.013573433435873744,0.10400000000000001,7.0,0.11900000000000001,0.11785714285714285,0.0048795003647426755,0.124,0.28800000000000003,0.30342857142857144,0.04263745279624921,0.37799999999999995
aics-dask-utils,0.099,0.10299999999999998,0.01647219880080778,0.124,7.0,0.10400000000000001,0.10028571428571428,0.01676021365928138,0.124,0.415,0.40771428571428564,0.05218465382886139,0.469
aicsfeature,3.088,3.0882857142857145,0.10557258843360534,3.247,7.0,3.1069999999999998,3.1517142857142857,0.1199468136101918,3.3560000000000003,5.947,5.949857142857143,0.18178323040683045,6.2410000000000005
aicsimageio,0.088,0.088,0.002581988897471607,0.091,4.0,0.11499999999999999,0.11125,0.029238958029770265,0.138,0.7375,0.74325,0.03899893160929751,0.7959999999999999
aicsimageprocessing,2.925,2.925,,2.925,1.0,2.989,2.989,,2.989,4.38,4.38,,4.38
aicspylibczi,0.08,0.08885714285714286,0.020227280023346127,0.124,7.0,0.109,0.10685714285714286,0.01584748740787817,0.125,0.317,0.3122857142857143,0.03723669465153196,0.363
aicsshparam,0.098,0.09428571428571428,0.011455919659202191,0.107,7.0,0.111,0.10585714285714284,0.023398209129678927,0.128,2.642,2.6634285714285713,0.11125774451374479,2.799
aiodns,0.112,0.1045,0.020207259421636904,0.11900000000000001,4.0,0.0985,0.0965,0.016134848413707933,0.114,0.1465,0.14725000000000002,0.010812801055539068,0.16
aiofiles,0.1035,0.10074999999999999,0.00736545993132811,0.106,4.0,0.1105,0.1065,0.014708274315273473,0.11900000000000001,0.087,0.08275,0.009912113800799498,0.08900000000000001
aiogram,0.095,0.095,,0.095,1.0,0.10099999999999999,0.10099999999999999,,0.10099999999999999,0.431,0.431,,0.431
aiohttp,0.0855,0.0815,0.024718414188616554,0.10400000000000001,4.0,0.1365,0.14425,0.022470350835415685,0.177,0.317,0.30975,0.05187404617597,0.35700000000000004
aiohttp-cors,0.095,0.09685714285714285,0.0121713950368418,0.113,7.0,0.10099999999999999,0.10285714285714286,0.008474050024015894,0.11699999999999999,0.297,0.2928571428571428,0.006962484504556556,0.3
aiohttp-socks,0.079,0.079,,0.079,1.0,0.09,0.09,,0.09,0.303,0.303,,0.303
aiohttp-sse-client,0.098,0.09749999999999999,0.01268857754044952,0.11199999999999999,4.0,0.0925,0.091,0.02333809475228573,0.11599999999999999,0.261,0.26325,0.044887823144664385,0.318
aiohttp_socks,0.10400000000000001,0.10400000000000001,,0.10400000000000001,1.0,0.08,0.08,,0.08,0.34,0.34,,0.34
aioredis,0.087,0.08842857142857141,0.011745313148332017,0.109,7.0,0.11599999999999999,0.1112857142857143,0.013744262872368306,0.126,0.105,0.10542857142857141,0.020040435315108494,0.14300000000000002
aiorpcx,0.087,0.08585714285714285,0.012876704695283025,0.11,7.0,0.091,0.09357142857142857,0.016949504838953685,0.124,0.111,0.11171428571428572,0.012378937564997049,0.127
aiortc,0.08900000000000001,0.096,0.013625955623979799,0.11800000000000001,7.0,0.129,0.11657142857142856,0.029692070450190025,0.153,0.456,0.4588571428571428,0.04864301447425784,0.537
airr,0.091,0.09128571428571428,0.012324964985944651,0.11199999999999999,7.0,0.204,0.1992857142857143,0.023711560371221782,0.228,0.629,0.6344285714285715,0.07446667519290569,0.731
airsim,0.09000000000000001,0.08600000000000001,0.026894857005259083,0.109,4.0,0.189,0.1975,0.031032241298365803,0.242,1.0635,1.0782500000000002,0.050598913031803354,1.148
airtable,0.084,0.09599999999999999,0.02014944167960989,0.126,7.0,0.106,0.10242857142857142,0.01355061059949136,0.121,0.185,0.17942857142857144,0.025349931905609677,0.213
airtable-python-wrapper,0.068,0.07842857142857143,0.019688043265369153,0.10800000000000001,7.0,0.08800000000000001,0.09714285714285716,0.02468757157916085,0.14,0.183,0.18557142857142858,0.021945820732409343,0.231
alabaster,0.08600000000000001,0.0895,0.009255628917943215,0.10300000000000001,4.0,0.096,0.0945,0.010785793124908955,0.106,0.10300000000000001,0.09225,0.0249582985531199,0.10800000000000001
albumentations,0.0955,0.09400000000000001,0.01293573860795484,0.10800000000000001,4.0,0.11249999999999999,0.113,0.024859605789312105,0.14300000000000002,1.107,1.1275,0.08465026087772361,1.24
alembic,0.08249999999999999,0.08049999999999999,0.010344080432788599,0.09,4.0,0.1315,0.13175,0.014750706197783672,0.15,0.189,0.19425,0.036068222394050234,0.24
algoliasearch,0.085,0.08771428571428572,0.013288018233409695,0.106,7.0,0.11199999999999999,0.10857142857142857,0.022082097898955332,0.142,0.183,0.18585714285714286,0.020293090543569845,0.213
algopy,0.078,0.07871428571428571,0.007931252228038262,0.086,7.0,0.217,0.21157142857142858,0.02570899416454056,0.243,0.209,0.21742857142857144,0.016731777578977713,0.247
algorithmia,0.10800000000000001,0.11071428571428572,0.017124196192466825,0.135,7.0,0.098,0.10357142857142856,0.025474543783007796,0.14400000000000002,0.21,0.22428571428571425,0.03843919131006046,0.284
algorithms,0.107,0.107,,0.107,1.0,0.10300000000000001,0.10300000000000001,,0.10300000000000001,0.126,0.126,,0.126
alibi,0.0965,0.0955,0.01877054430040144,0.11699999999999999,4.0,0.13,0.1295,0.014617341299520468,0.145,5.187,5.153,0.22761370784730917,5.349
alipy,0.08199999999999999,0.08199999999999999,,0.08199999999999999,1.0,0.21600000000000003,0.21600000000000003,,0.21600000000000003,0.993,0.993,,0.993
allennlp,0.671,0.6637500000000001,0.025591339680967627,0.684,4.0,0.607,0.61575,0.04787744771810628,0.677,9.5445,9.546,0.18252488414825327,9.751
allennlp-semparse,0.69,0.6784999999999999,0.07451845409024536,0.7559999999999999,4.0,0.728,0.73125,0.05802513823048311,0.795,9.523,9.49525,0.17407732955978705,9.662
allennlp_models,0.7725,0.7457500000000001,0.08866181064396703,0.8170000000000001,4.0,0.81,0.8015000000000001,0.07032543399557993,0.878,9.89,9.926,0.4516340701644794,10.5
allensdk,0.11,0.10975,0.01588238017426859,0.128,4.0,0.2265,0.22475,0.055391786394735465,0.275,2.898,2.90825,0.05462828937464548,2.98
alpaca-trade-api,0.12300000000000001,0.12300000000000001,,0.12300000000000001,1.0,0.07200000000000001,0.07200000000000001,,0.07200000000000001,0.545,0.545,,0.545
alpha-vantage,0.1005,0.0995,0.009678154093971986,0.11,4.0,0.08900000000000001,0.09550000000000002,0.01611417595369576,0.11900000000000001,0.29800000000000004,0.29725,0.02677529956259438,0.327
alpha_vantage,0.091,0.09325,0.021807873196011875,0.122,4.0,0.124,0.11699999999999999,0.016772994167212167,0.128,0.3055,0.3045,0.013771952173409069,0.318
alphashape,0.101,0.09825,0.01247330482804511,0.109,4.0,0.0955,0.097,0.007958224257542217,0.10800000000000001,0.7055,0.72,0.03706750598570129,0.775
alphatwirl,0.092,0.092,,0.092,1.0,0.14300000000000002,0.14300000000000002,,0.14300000000000002,0.365,0.365,,0.365
altair,0.10400000000000001,0.10250000000000001,0.014571661996262931,0.11800000000000001,4.0,0.132,0.13625,0.026183646295604688,0.172,0.704,0.7095,0.12310564568694647,0.831
altair-data-server,0.10099999999999999,0.10224999999999998,0.02145343795292494,0.125,4.0,0.1195,0.1185,0.005567764362830022,0.124,0.7565,0.7510000000000001,0.03701351104664348,0.787
altair-latimes,0.07500000000000001,0.07025,0.011842719282327016,0.078,4.0,0.0955,0.093,0.012247448713915894,0.10400000000000001,0.0975,0.09725,0.030181396035748025,0.131
altair-saver,0.0905,0.095,0.013735598518691012,0.115,4.0,0.10200000000000001,0.09975,0.014863265679744362,0.114,0.73,0.7335,0.017310882896798364,0.757
altair-viewer,0.077,0.08,0.022553639765383025,0.107,4.0,0.10149999999999999,0.1035,0.007325753658611977,0.114,0.7305,0.73475,0.09167833259100355,0.846
altair_data_server,0.0985,0.109,0.02273030282830977,0.14300000000000002,4.0,0.0935,0.09375000000000001,0.013022416570411704,0.106,0.6805,0.6895,0.019706175005143326,0.7190000000000001
altair_latimes,0.0965,0.0955,0.007937253933193774,0.10400000000000001,4.0,0.07500000000000001,0.07875,0.01558578412100805,0.099,0.126,0.124,0.011661903789690597,0.136
altair_morberg,0.087,0.09085714285714284,0.012641579165971466,0.109,7.0,0.10099999999999999,0.10385714285714286,0.019777331901519413,0.134,0.65,0.6631428571428571,0.03950708194500731,0.732
altair_saver,0.0865,0.0845,0.009678154093971984,0.094,4.0,0.095,0.09575,0.008655441448399193,0.107,0.7775000000000001,0.77825,0.08250808041236524,0.879
altair_viewer,0.092,0.09442857142857142,0.017709292691099995,0.11800000000000001,7.0,0.098,0.10185714285714285,0.021582620874433293,0.131,0.7240000000000001,0.7014285714285714,0.047440689788609214,0.738
alteia,0.075,0.075,,0.075,1.0,0.128,0.128,,0.128,0.126,0.126,,0.126
altgraph,0.0795,0.0805,0.02251666049839541,0.10800000000000001,4.0,0.1015,0.099,0.007788880963698611,0.105,0.0885,0.096,0.023338094752285737,0.13
amazon-braket-pennylane-plugin,0.10300000000000001,0.103,0.021594752448994017,0.129,7.0,0.08199999999999999,0.08214285714285714,0.011950293879630062,0.105,0.105,0.09942857142857141,0.011984116472191329,0.11599999999999999
ambiance,0.0875,0.088,0.02051016008388689,0.113,4.0,0.096,0.0975,0.011239810200058244,0.11199999999999999,0.6275,0.638,0.07118520445523308,0.733
ames,0.09300000000000001,0.09625000000000002,0.016357974609753294,0.11900000000000001,4.0,0.089,0.092,0.012192894105447927,0.10800000000000001,0.0935,0.0885,0.02826658805020514,0.115
amply,0.08600000000000001,0.08325,0.013937359864766354,0.09699999999999999,4.0,0.1065,0.10399999999999998,0.009055385138137412,0.11199999999999999,0.1335,0.136,0.011747340124470734,0.152
amqp,0.0885,0.089,0.008831760866327852,0.1,4.0,0.10950000000000001,0.10875,0.018025444978326245,0.13,0.1005,0.10124999999999999,0.004645786621588789,0.107
amqplib,0.094,0.094,,0.094,1.0,0.154,0.154,,0.154,0.19899999999999998,0.19899999999999998,,0.19899999999999998
anaconda,0.08549999999999999,0.089,0.009556847457887641,0.10300000000000001,4.0,0.1655,0.169,0.011916375287812994,0.18600000000000003,0.1765,0.1775,0.0130256157883866,0.19399999999999998
anaconda-client,0.08549999999999999,0.09125,0.013985111130532116,0.11199999999999999,4.0,0.205,0.19999999999999998,0.02831960451701259,0.228,0.44,0.443,0.013241349377360797,0.46
anaconda-navigator,0.0875,0.08775000000000001,0.012010412149464309,0.102,4.0,0.0955,0.09,0.015340577998671799,0.10099999999999999,0.0945,0.0915,0.019502136635080096,0.11
anaconda-project,0.093,0.09025000000000001,0.007804912982645395,0.096,4.0,0.07700000000000001,0.0785,0.02462383668995011,0.109,0.09949999999999999,0.09675,0.02020519735117675,0.115
analysisdatalink,0.096,0.096,,0.096,1.0,0.17600000000000002,0.17600000000000002,,0.17600000000000002,1.913,1.913,,1.913
anchor-exp,0.094,0.09557142857142857,0.016821188452436436,0.11900000000000001,7.0,0.19899999999999998,0.20557142857142857,0.020304819976688152,0.242,2.043,2.0174285714285713,0.11198192881421706,2.161
