library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
abjad,1.071,1.0776666666666668,0.04140450861118073,1.122,12.68,12.660333333333332,0.2361150849338802,12.886,3.0,2.225,2.27,0.11153026495081932,2.397
abjad_ext_ipython,1.673,1.6656666666666666,0.024826061575153793,1.686,22.129,22.07133333333333,0.2046859382892078,22.241,3.0,2.467,2.473,0.03241913015489484,2.508
ablog,0.772,0.7803333333333334,0.02079262689833424,0.804,6.744,6.741,0.01769180601295412,6.757000000000001,3.0,1.0270000000000001,1.0186666666666668,0.021733231083604056,1.035
absl-py,0.7120000000000001,0.6963333333333334,0.053257237379846625,0.74,0.8059999999999999,0.8203333333333332,0.07355496810775827,0.9,3.0,0.8690000000000001,0.8636666666666667,0.015695009822658097,0.8759999999999999
abtem,0.75,0.7363333333333334,0.05186842327788008,0.78,12.702,12.835,0.3283641271515518,13.209000000000001,3.0,1.0,0.987,0.023388031127053004,1.001
abydos,0.693,0.6706666666666666,0.046694039591079824,0.7020000000000001,3.56,3.5896666666666666,0.06850060826980538,3.668,3.0,1.14,1.1613333333333333,0.056127830292407956,1.225
adal,0.804,0.7866666666666666,0.05701169470672953,0.833,3.1,3.0943333333333336,0.16357363275703482,3.255,3.0,0.8740000000000001,0.876,0.009165151389911622,0.8859999999999999
adjusttext,0.7190000000000001,0.7086666666666667,0.019655363983740785,0.721,5.7379999999999995,5.84,0.22505999200213234,6.098,3.0,1.486,1.4586666666666666,0.07200231477760538,1.5130000000000001
ads,0.7,0.6966666666666667,0.04509249752822893,0.74,3.205,3.1986666666666665,0.05477529856909352,3.25,3.0,1.496,1.5233333333333334,0.06730032194078535,1.6
advertools,0.9940000000000001,1.0123333333333333,0.07910962857537206,1.099,15.39,15.259,0.2596016178686099,15.427,3.0,1.413,1.405,0.03961060464067673,1.44
affine,0.695,0.706,0.019924858845171277,0.7290000000000001,0.797,0.782,0.04348562981031778,0.816,3.0,0.8190000000000001,0.8113333333333334,0.04202776859807503,0.8490000000000001
affinegap,0.691,0.693,0.017088007490635014,0.711,0.7609999999999999,0.7546666666666667,0.055770362499569084,0.807,3.0,0.7509999999999999,0.7606666666666667,0.029704096238285696,0.794
afinn,0.6659999999999999,0.6643333333333333,0.0028867513459481316,0.6659999999999999,1.379,1.391,0.046184412955021875,1.442,3.0,1.354,1.3550000000000002,0.0026457513110645613,1.358
agate,0.7020000000000001,0.6893333333333334,0.051189191567491375,0.733,5.073,5.059666666666668,0.1255322003843372,5.178,3.0,3.969,3.9619999999999997,0.04392038251199538,4.002
agate-dbf,0.701,0.685,0.035791060336346485,0.71,5.865,5.836333333333333,0.062171804970849474,5.879,3.0,1.367,1.3696666666666666,0.014189197769195182,1.385
agate-excel,0.723,0.7233333333333333,0.02750151510977768,0.7509999999999999,6.004,6.0616666666666665,0.1671356734312976,6.25,3.0,1.495,1.4903333333333333,0.06512551983157856,1.5530000000000002
agate-sql,0.821,0.8116666666666666,0.06351640208114225,0.87,7.407,7.403333333333332,0.06857356147476515,7.47,3.0,1.588,1.588,0.010000000000000009,1.598
aicsimageio,0.9590000000000001,0.967,0.03176476034853718,1.002,9.792,9.729666666666667,0.17123181168618606,9.861,3.0,1.5230000000000001,1.563,0.07810249675906647,1.653
aiodns,0.674,0.6859999999999999,0.03746998799039042,0.728,1.554,1.5413333333333332,0.06493329911018951,1.599,3.0,0.752,0.757,0.013228756555322954,0.772
