,library,dependencies,size,size_full
0,cutecharts,['jinja2'],1.2959999999999994,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 188K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cutecharts 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe
"
1,postgres,"['psycopg2-binary', 'psycopg2-pool']",0.14400000000000013,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 144K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/postgres
"
2,gpustat,"['six', 'nvidia-ml-py3', 'psutil', 'blessings']",1.8640000000000008,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/psutil 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gpustat 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/blessings
"
3,df2gspread,"['argparse', 'google-api-python-client', 'gspread', 'oauth2client', 'pandas']",82.63199999999998,"47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 1.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/oauthlib 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 860K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyasn1 744K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/oauth2client 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 332K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httplib2 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 244K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/gspread 228K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/rsa 112K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cachetools 72K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/uritemplate 68K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/df2gspread
"
4,pyprism,ERROR,88.836,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pint 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging
"
5,ddeint,"['numpy', 'scipy']",87.04,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 40K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ddeint
"
6,humanfriendly,[],0.5920000000000005,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/humanfriendly
"
7,django-easy-timezones,"['pygeoip', 'pytz', 'ipaddress', 'Django', 'wheel']",47.732,"44M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/django 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 504K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wheel 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sqlparse 144K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/asgiref 140K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygeoip
"
8,skypy,"['pyyaml', 'networkx', 'scipy', 'astropy', 'numpy']",151.7,"62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 50M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/astropy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 12M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/networkx 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/skypy
"
9,alpaca-trade-api,"['websocket-client', 'websockets', 'requests', 'msgpack', 'urllib3', 'pandas', 'numpy']",80.264,"47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 904K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/msgpack 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 688K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/websockets 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi
"
