,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
absl-py,1.009,0.0294052149569879,1.046,4.0,0.09325,0.01908533468399231,0.109,0.87275,0.031063107807601326,0.903
abtem,14.675,,14.675,1.0,1.02,,1.02,12.904000000000002,,12.904000000000002
adal,3.5260000000000002,,3.5260000000000002,1.0,0.231,,0.231,3.073,,3.073
adjusttext,6.7364999999999995,0.11153026495081936,6.837999999999999,4.0,0.50925,0.0464497936845077,0.565,6.02775,0.14746383737490806,6.166
advertools,18.204,,18.204,1.0,1.381,,1.381,16.226,,16.226
affine,0.91325,0.027837325063063585,0.9490000000000001,4.0,0.0925,0.006350852961085887,0.10099999999999999,0.78575,0.03370830758136631,0.821
aiofiles,0.8490000000000001,,0.8490000000000001,1.0,0.114,,0.114,0.706,,0.706
aiohttp,3.86925,0.0696820158529684,3.932,4.0,0.28300000000000003,0.04481815108487481,0.35,3.4315,0.06776675684532421,3.51
aiohttp-sse-client,4.087,,4.087,1.0,0.307,,0.307,3.5860000000000003,,3.5860000000000003
alabaster,0.8885,0.031246333118196946,0.9179999999999999,4.0,0.10074999999999999,0.02400520776831561,0.11599999999999999,0.7517499999999999,0.034683089058886674,0.787
albumentations,12.957,,12.957,1.0,1.141,,1.141,11.458,,11.458
alembic,3.4859999999999998,0.125626430340116,3.5989999999999998,4.0,0.20725,0.041347107919821116,0.248,3.09825,0.09659321922371147,3.181
allennlp,131.52700000000002,,131.52700000000002,1.0,10.089,,10.089,86.76700000000001,,86.76700000000001
allensdk,38.78,,38.78,1.0,3.105,,3.105,33.221,,33.221
altair,8.95725,0.3630788481859008,9.367,4.0,0.6505,0.051784811157970526,0.7120000000000001,7.947750000000001,0.21592803585145343,8.089
altair-data-server,9.363999999999999,,9.363999999999999,1.0,0.785,,0.785,8.204,,8.204
altair-latimes,0.8937499999999999,0.038913365313218456,0.9279999999999999,4.0,0.09175,0.0035939764421413067,0.095,0.7439999999999999,0.04301162633521312,0.7929999999999999
altair_saver,9.943,0.17303371540444548,10.189,4.0,0.72275,0.07635607375972128,0.8240000000000001,8.7915,0.09432744386797873,8.891
altgraph,0.9009999999999999,,0.9009999999999999,1.0,0.109,,0.109,0.762,,0.762
ambiance,6.13675,0.1435325166411199,6.291,4.0,0.5645,0.05704092098368213,0.64,5.48,0.1206067991449897,5.6339999999999995
anaconda-client,3.9810000000000003,,3.9810000000000003,1.0,0.39,,0.39,3.423,,3.423
anaconda-navigator,0.763,,0.763,1.0,0.07,,0.07,0.6659999999999999,,0.6659999999999999
anaconda-project,0.867,,0.867,1.0,0.09300000000000001,,0.09300000000000001,0.682,,0.682
aniso8601,0.9824999999999999,0.025252062622024944,1.0,4.0,0.10225000000000001,0.026663020584072356,0.141,0.8462500000000001,0.033330416539051354,0.892
anndata,10.508,,10.508,1.0,0.6559999999999999,,0.6559999999999999,9.561,,9.561
anndata2ri,46.578,,46.578,1.0,5.043,,5.043,40.397,,40.397
annoy,2.3564999999999996,0.03645545226711656,2.404,4.0,0.2975,0.02114237451186596,0.319,1.9939999999999998,0.02808320969310069,2.01
ansi2html,0.88225,0.04094203219186859,0.929,4.0,0.097,0.01570562531918633,0.114,0.7475,0.04536151085079359,0.787
ansimarkup,1.028,,1.028,1.0,0.12300000000000001,,0.12300000000000001,0.8440000000000001,,0.8440000000000001
ansiwrap,1.0190000000000001,,1.0190000000000001,1.0,0.12,,0.12,0.8170000000000001,,0.8170000000000001
anvil-uplink,3.1660000000000004,,3.1660000000000004,1.0,0.373,,0.373,2.721,,2.721
anytree,0.9525,0.05567465012612708,1.025,4.0,0.095,0.018129166187849537,0.11900000000000001,0.8079999999999999,0.04120679555607302,0.863
apipkg,0.9309999999999999,,0.9309999999999999,1.0,0.111,,0.111,0.79,,0.79
aplpy,17.255,,17.255,1.0,4.114,,4.114,16.991,,16.991
appdirs,0.86025,0.052442826010809136,0.9129999999999999,4.0,0.078,0.013165611772087665,0.094,0.7530000000000001,0.05044468918198098,0.807
appmode,12.3725,0.31112323389079516,12.83,4.0,0.9749999999999999,0.0493558507170123,1.038,10.664750000000002,0.2731316837473576,11.036
appnope,0.87925,0.02961277877313552,0.9129999999999999,4.0,0.09525,0.012658988901172166,0.111,0.7545,0.03529400326778857,0.792
arangopipe,1.079,,1.079,1.0,0.106,,0.106,0.759,,0.759
arcgis,39.21125,0.741459989929778,40.019,4.0,6.132,0.17204069286072954,6.266,35.85325,0.6743121804228847,36.808
arch,12.894,,12.894,1.0,2.883,,2.883,12.682,,12.682
argh,0.899,,0.899,1.0,0.091,,0.091,0.779,,0.779
argon2-cffi,1.71775,0.0591178202124085,1.791,4.0,0.14550000000000002,0.017019596548292985,0.165,1.4762500000000003,0.04269562819149825,1.5219999999999998
argparse,0.8975,0.021977260975835928,0.924,4.0,0.1125,0.013102162671355685,0.121,0.75275,0.016378339354159156,0.775
arlunio,7.3660000000000005,,7.3660000000000005,1.0,0.512,,0.512,6.126,,6.126
arpeggio,0.934,,0.934,1.0,0.084,,0.084,0.821,,0.821
arrow,1.2845,0.03994579660823739,1.3330000000000002,4.0,0.14300000000000002,0.016872067646458336,0.16699999999999998,1.06525,0.03927997793617849,1.121
art,1.34,,1.34,1.0,0.11699999999999999,,0.11699999999999999,1.179,,1.179
arviz,13.621500000000001,0.4114709386254795,14.213,4.0,0.972,0.08180871999161621,1.05,12.3085,0.263823804839519,12.687000000000001
asciitree,1.6480000000000001,,1.6480000000000001,1.0,0.147,,0.147,1.334,,1.334
