library,sys_time_constant_median,sys_time_constant_average,sys_time_constant_std,sys_time_constant_max,sys_time_solo_len,sys_time_solo_median,sys_time_solo_average,sys_time_solo_std,sys_time_solo_max,sys_time_full_median,sys_time_full_average,sys_time_full_std,sys_time_full_max
abjad,0.076,0.082,0.022605309110914632,0.107,3.0,0.243,0.24833333333333332,0.012858201014657289,0.263,1.035,1.035,0.06099999999999986,1.0959999999999999
abjad_ext_ipython,0.081,0.08533333333333333,0.008386497083606084,0.095,3.0,0.222,0.22199999999999998,0.0030000000000000096,0.225,1.989,1.945,0.10142977866484766,2.017
ablog,0.091,0.10233333333333335,0.03731398308052001,0.14400000000000002,3.0,0.105,0.10866666666666668,0.008144527815247075,0.11800000000000001,0.617,0.6409999999999999,0.07782673062643715,0.728
absl-py,0.084,0.08366666666666667,0.007505553499465135,0.091,3.0,0.085,0.08933333333333333,0.02379775899813538,0.115,0.13,0.12066666666666666,0.02722743714221618,0.142
abtem,0.099,0.09400000000000001,0.01609347693943108,0.107,3.0,0.11,0.114,0.018330302779823362,0.134,1.094,1.1203333333333332,0.050003333222229676,1.178
abydos,0.09699999999999999,0.09966666666666667,0.005507570547286107,0.106,3.0,0.13699999999999998,0.1436666666666667,0.012423096769056148,0.158,0.353,0.361,0.02497999199359359,0.389
adal,0.07,0.07,0.005999999999999997,0.076,3.0,0.099,0.106,0.012124355652982133,0.12,0.228,0.22466666666666668,0.008504900548115394,0.231
adjusttext,0.087,0.08800000000000001,0.009539392014169455,0.098,3.0,0.185,0.18866666666666665,0.00723417813807023,0.19699999999999998,0.524,0.5236666666666667,0.011503622617824956,0.535
ads,0.094,0.08800000000000001,0.014933184523068082,0.099,3.0,0.235,0.22066666666666668,0.030171730698342985,0.24100000000000002,0.313,0.3313333333333333,0.0712904855736958,0.41
advertools,0.105,0.10366666666666667,0.002309401076758503,0.105,3.0,0.135,0.12633333333333333,0.022300971578236996,0.14300000000000002,1.38,1.3373333333333333,0.07827089710315918,1.385
affine,0.095,0.09733333333333333,0.011676186592091334,0.11,3.0,0.08,0.07966666666666668,0.012503332889007363,0.092,0.10300000000000001,0.09699999999999999,0.018734993995195195,0.11199999999999999
affinegap,0.092,0.08333333333333333,0.016772994167212167,0.094,3.0,0.099,0.09533333333333334,0.011930353445448861,0.105,0.10099999999999999,0.10333333333333332,0.007767453465154023,0.11199999999999999
afinn,0.085,0.08666666666666667,0.01457166199626293,0.102,3.0,0.156,0.17066666666666666,0.030746273486933897,0.20600000000000002,0.195,0.18433333333333332,0.022030282189144414,0.19899999999999998
agate,0.099,0.10200000000000002,0.005196152422706636,0.10800000000000001,3.0,0.599,0.6286666666666666,0.07315964279118198,0.7120000000000001,0.813,0.8256666666666667,0.061978490892674536,0.893
agate-dbf,0.1,0.09200000000000001,0.019287301521985906,0.106,3.0,0.153,0.158,0.01899999999999999,0.179,0.927,0.9203333333333333,0.03547299442298797,0.9520000000000001
agate-excel,0.08900000000000001,0.09466666666666668,0.011590225767142482,0.10800000000000001,3.0,0.223,0.20266666666666666,0.04324735059322516,0.23199999999999998,0.9229999999999999,0.9103333333333333,0.040513372277969334,0.943
agate-sql,0.08199999999999999,0.08199999999999999,0.004999999999999994,0.087,3.0,0.191,0.19233333333333333,0.024027761721253472,0.217,0.9690000000000001,0.9620000000000001,0.021377558326432046,0.9790000000000001
aicsimageio,0.087,0.08700000000000001,0.0020000000000000018,0.08900000000000001,3.0,0.09699999999999999,0.104,0.03109662361093243,0.138,0.735,0.7256666666666667,0.020647840887931413,0.74
aiodns,0.11599999999999999,0.10333333333333333,0.024583192089989728,0.11900000000000001,3.0,0.1,0.09633333333333334,0.0197568553503166,0.114,0.141,0.14300000000000002,0.008185352771872432,0.152
aiofiles,0.105,0.10433333333333333,0.002081665999466133,0.106,3.0,0.115,0.11333333333333334,0.006658328118479399,0.11900000000000001,0.08800000000000001,0.08766666666666667,0.0015275252316519548,0.08900000000000001
aiohttp,0.099,0.09166666666666667,0.01721433511156714,0.10400000000000001,3.0,0.133,0.14566666666666667,0.027300793639257685,0.177,0.348,0.3176666666666667,0.060500688701314274,0.35700000000000004
aiohttp-sse-client,0.102,0.10266666666666667,0.009018499505645776,0.11199999999999999,3.0,0.10300000000000001,0.09400000000000001,0.027622454633866266,0.11599999999999999,0.27699999999999997,0.27999999999999997,0.03659234892706399,0.318
airsim,0.07200000000000001,0.07833333333333334,0.027061657993059728,0.10800000000000001,3.0,0.191,0.20666666666666667,0.030664855018951796,0.242,1.044,1.055,0.024433583445741248,1.083
alabaster,0.08800000000000001,0.09133333333333334,0.010408329997330667,0.10300000000000001,3.0,0.09699999999999999,0.09433333333333332,0.013203534880225567,0.106,0.102,0.08833333333333333,0.02902297940138699,0.10800000000000001
albumentations,0.098,0.09433333333333334,0.01582192571507443,0.10800000000000001,3.0,0.12,0.12266666666666666,0.019139836293274134,0.14300000000000002,1.069,1.1216666666666668,0.10268560431400953,1.24
alembic,0.078,0.07833333333333334,0.011503622617824926,0.09,3.0,0.13,0.13133333333333333,0.018036999011291577,0.15,0.205,0.20133333333333334,0.04062429486567531,0.24
alibi,0.092,0.08833333333333333,0.014843629385474871,0.10099999999999999,3.0,0.122,0.12666666666666668,0.016502525059315418,0.145,5.337000000000001,5.191666666666666,0.26218568483678417,5.349
allennlp,0.66,0.657,0.02662705391138869,0.682,3.0,0.63,0.6263333333333333,0.052595944076832914,0.677,9.452,9.515666666666666,0.21083721999052565,9.751
allennlp-semparse,0.7020000000000001,0.7119999999999999,0.03994996871087634,0.7559999999999999,3.0,0.765,0.7446666666666667,0.06301058112200944,0.795,9.601,9.569333333333335,0.11191216794135236,9.662
allennlp_models,0.8,0.7873333333333333,0.03763420430052073,0.8170000000000001,3.0,0.8170000000000001,0.801,0.08612200647918049,0.878,10.008,10.093333333333334,0.37142608057772825,10.5
